vec1,vec2,subjDet,dimRed,2Stage F1,Multinomial F1,SVC F1,2Stage InfTime,Multinomial Inftime,SVC Inftime
diffposneg,count,aggregate,True,0.52,0.489,0.905,0m:33s,0m:22s,0m:11s
diffposneg,count,aggregate,False,0.731,0.52,0.731,2m:54s,0m:22s,2m:31s
diffposneg,count,filter,True,0.535,0.488,0.89,0m:19s,0m:14s,0m:5s
diffposneg,count,filter,False,0.748,0.512,0.748,2m:15s,0m:15s,1m:59s
diffposneg,tfidf,aggregate,True,0.492,0.522,0.9,0m:33s,0m:22s,0m:11s
diffposneg,tfidf,aggregate,False,0.832,0.516,0.832,3m:12s,0m:22s,2m:53s
diffposneg,tfidf,filter,True,0.492,0.489,0.815,0m:20s,0m:15s,0m:5s
diffposneg,tfidf,filter,False,0.851,0.549,0.857,2m:25s,0m:14s,2m:13s
count,tfidf,aggregate,True,0.813,0.814,0.898,0m:7s,0m:7s,0m:11s
count,tfidf,aggregate,False,0.812,0.814,0.832,0m:7s,0m:7s,3m:21s
count,tfidf,filter,True,0.839,0.838,0.815,0m:4s,0m:5s,0m:5s
count,tfidf,filter,False,0.839,0.838,0.857,0m:5s,0m:4s,2m:44s
